Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,1/7/2019,34,NJ,34029,Ocean County,"109,376","490,436","2,211,385","540,010","553,566","240,875","292,443","304,139","178,841","86,145","8,605","1,301","5,460"
County,1/7/2019,34,NJ,34031,Passaic County,"101,018","400,754","1,842,166","549,976","440,315","206,869","272,842","280,100","67,401","16,291","6,459",907,"1,006"
County,1/7/2019,34,NJ,34033,Salem County,"12,092","50,324","225,314","53,489","42,313","27,984","36,146","43,933","15,012","3,746","2,076",335,280
County,1/7/2019,34,NJ,34035,Somerset County,"57,294","272,858","1,196,370","282,835","294,299","142,081","188,823","179,309","86,089","15,134","4,896",974,"1,930"
County,1/7/2019,34,NJ,34037,Sussex County,"23,232","117,137","517,080","119,155","115,236","55,991","74,920","83,742","53,832","11,415","2,128",212,449
County,1/7/2019,34,NJ,34039,Union County,"115,187","441,174","2,047,616","645,169","524,695","214,897","254,976","290,791","80,814","19,197","10,354","2,371","4,352"
County,1/7/2019,34,NJ,34041,Warren County,"17,739","87,717","383,722","93,008","75,277","37,031","48,672","71,968","39,125","16,694","1,342",224,381
County,1/7/2019,34,NJ,34001,Atlantic County,"55,102","209,516","967,826","257,719","234,120","102,134","163,387","131,829","48,515","22,587","5,966",534,"1,035"
County,1/7/2019,34,NJ,34003,Bergen County,"187,601","746,228","3,409,969","1,054,938","831,728","385,890","512,773","461,813","107,149","32,880","15,119","4,082","3,597"
County,1/7/2019,34,NJ,34005,Burlington County,"81,265","362,758","1,608,390","414,279","364,774","174,602","244,809","282,368","83,784","31,380","8,855","1,656","1,883"
County,1/7/2019,34,NJ,34007,Camden County,"106,071","399,457","1,848,959","562,980","423,983","215,641","274,610","266,774","67,058","25,816","9,205","1,159","1,733"
County,1/7/2019,34,NJ,34009,Cape May County,"21,301","70,976","331,078","86,400","70,348","43,655","60,361","43,192","17,287","6,602","2,118",312,803
County,1/7/2019,34,NJ,34011,Cumberland County,"28,356","122,155","573,737","155,506","145,803","68,197","68,701","77,179","45,975","9,153","2,728",185,310
County,1/7/2019,34,NJ,34013,Essex County,"183,105","614,217","2,908,435","968,056","766,751","337,512","351,238","371,479","76,423","20,129","10,439","2,398","4,010"
County,1/7/2019,34,NJ,34015,Gloucester County,"53,531","236,986","1,093,515","285,236","254,013","121,494","158,532","190,048","62,013","13,805","6,708",827,839
County,1/7/2019,34,NJ,34017,Hudson County,"183,675","490,320","2,224,842","827,354","594,349","271,490","258,566","181,348","59,208","15,700","9,660","2,473","4,694"
County,1/7/2019,34,NJ,34019,Hunterdon County,"18,282","106,051","468,777","98,815","100,266","59,124","70,549","81,723","41,129","13,688","2,308",306,869
County,1/7/2019,34,NJ,34021,Mercer County,"75,693","292,988","1,325,550","375,120","349,860","157,979","179,317","156,056","69,582","30,612","4,959",813,"1,252"
County,1/7/2019,34,NJ,34023,Middlesex County,"158,529","668,620","2,935,704","796,659","709,696","344,058","398,525","419,724","212,055","35,353","13,189","2,601","3,844"
County,1/8/2019,34,NJ,34001,Atlantic County,"55,495","209,123","956,365","256,290","229,689","101,800","160,398","131,126","48,771","21,653","5,156",510,972
County,1/8/2019,34,NJ,34003,Bergen County,"189,471","744,358","3,353,344","1,026,852","814,224","381,259","505,371","465,936","106,474","31,518","13,704","3,922","4,084"
County,1/8/2019,34,NJ,34005,Burlington County,"82,386","361,637","1,579,380","393,751","359,956","174,433","250,161","276,991","80,574","30,444","9,308","1,754","2,008"
County,1/8/2019,34,NJ,34007,Camden County,"107,182","398,346","1,816,652","546,702","431,913","205,833","270,364","259,523","65,522","23,747","10,166","1,164","1,718"
County,1/8/2019,34,NJ,34009,Cape May County,"20,931","71,346","320,933","81,800","70,010","40,927","58,376","44,207","16,886","5,881","1,921",326,599
County,1/8/2019,34,NJ,34011,Cumberland County,"28,433","122,078","555,990","143,457","146,484","66,064","68,070","76,970","42,993","8,467","2,942",243,300
County,1/8/2019,34,NJ,34013,Essex County,"183,004","614,318","2,813,864","915,052","734,353","330,489","350,070","372,970","74,629","20,138","10,139","2,181","3,843"
County,1/8/2019,34,NJ,34015,Gloucester County,"53,650","236,867","1,072,464","280,124","247,237","115,277","160,521","188,077","59,681","13,270","6,777",745,755
County,1/8/2019,34,NJ,34017,Hudson County,"182,715","491,280","2,177,373","805,958","588,700","256,996","255,990","179,825","55,573","17,258","9,637","2,336","5,100"
County,1/8/2019,34,NJ,34019,Hunterdon County,"18,945","105,388","452,412","91,803","97,476","53,376","65,188","87,073","40,040","14,035","2,118",343,960
County,1/8/2019,34,NJ,34021,Mercer County,"76,148","292,533","1,310,870","374,981","341,288","159,949","171,679","155,571","69,028","30,702","5,324","1,014","1,334"
County,1/8/2019,34,NJ,34023,Middlesex County,"159,815","667,334","2,914,712","782,104","704,679","343,440","396,294","419,933","215,425","34,195","12,080","2,635","3,927"
County,1/8/2019,34,NJ,34025,Monmouth County,"112,873","506,582","2,224,107","589,863","546,722","257,183","287,140","302,313","180,341","46,660","8,579","1,637","3,669"
County,1/8/2019,34,NJ,34027,Morris County,"89,826","402,891","1,749,273","435,993","440,842","199,806","249,325","279,493","115,332","18,976","5,661","1,514","2,331"
County,1/8/2019,34,NJ,34029,Ocean County,"110,051","489,761","2,221,337","566,881","556,200","235,127","285,049","303,529","170,771","89,241","8,107","1,759","4,673"
County,1/8/2019,34,NJ,34031,Passaic County,"100,759","401,013","1,797,163","526,841","422,772","201,475","265,866","289,163","66,989","14,451","7,227","1,231","1,148"
