Date,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips
1/2/2020,Atlantic County,"57,267","208,162","1,060,295"
1/2/2020,Bergen County,"198,936","737,756","3,844,585"
1/2/2020,Burlington County,"86,790","358,594","1,825,828"
1/2/2020,Camden County,"110,719","396,359","2,040,044"
1/2/2020,Cape May County,"22,077","70,483","365,193"
1/2/2020,Cumberland County,"29,650","121,322","627,602"
1/2/2020,Essex County,"189,773","609,994","3,127,489"
1/2/2020,Gloucester County,"57,225","234,183","1,234,917"
1/2/2020,Hudson County,"191,662","484,399","2,515,910"
1/2/2020,Hunterdon County,"20,546","104,168","497,934"
1/2/2020,Mercer County,"80,414","289,397","1,496,723"
1/2/2020,Middlesex County,"165,816","663,869","3,262,437"
1/2/2020,Monmouth County,"122,506","498,848","2,526,772"
1/2/2020,Morris County,"96,747","397,481","1,880,097"
1/2/2020,Ocean County,"120,737","480,914","2,484,103"
1/2/2020,Passaic County,"107,912","395,398","1,999,454"
1/2/2020,Salem County,"12,051","50,556","259,538"
1/2/2020,Somerset County,"61,940","269,224","1,281,220"
1/2/2020,Sussex County,"25,325","115,474","547,523"
1/2/2020,Union County,"122,083","435,984","2,368,212"
1/2/2020,Warren County,"19,146","86,633","417,724"
11/8/2020,,"3,009,294","5,899,226","29,020,390"
11/9/2020,,"2,837,176","6,071,344","28,797,670"
11/10/2020,,"2,733,509","6,175,011","28,983,424"
11/11/2020,,"2,785,175","6,123,345","26,990,078"
11/12/2020,,"2,762,616","6,145,904","27,003,276"
11/13/2020,,"2,715,521","6,192,999","28,296,821"
11/14/2020,,"2,832,616","6,075,904","28,449,452"
11/27/2020,Atlantic County,"78,986","186,443","853,488"
11/27/2020,Bergen County,"310,548","626,144","3,159,983"
11/27/2020,Burlington County,"135,415","309,969","1,469,367"
11/27/2020,Camden County,"164,689","342,389","1,609,154"
11/27/2020,Cape May County,"30,351","62,209","288,381"
11/27/2020,Cumberland County,"39,452","111,520","534,060"
11/27/2020,Essex County,"273,312","526,455","2,294,728"
11/27/2020,Gloucester County,"82,382","209,026","1,024,060"
11/27/2020,Hudson County,"269,098","406,963","1,957,893"
11/27/2020,Hunterdon County,"32,419","92,295","438,999"
11/27/2020,Mercer County,"116,845","252,966","1,220,511"
11/27/2020,Middlesex County,"252,290","577,395","2,757,689"
11/27/2020,Monmouth County,"179,993","441,361","2,241,751"
11/27/2020,Morris County,"150,309","343,919","1,627,697"
